x,y
0,1,255,27,1,1,1,1,1
1,2,255,27,1,1,2,2,1
2,3,255,20,1,1,2,3,1
3,4,255,29,1,1,3,4,2
4,5,255,29,1,1,4,5,3
5,6,255,20,1,1,5,6,4
6,7,255,20,1,1,6,7,5
7,8,255,14,1,1,7,7,5
8,9,255,27,1,1,8,8,6
9,10,255,21,1,1,9,9,6
10,11,255,26,1,1,9,10,6
11,12,255,20,1,1,10,10,6
12,13,255,28,1,1,10,11,6
13,14,255,27,1,1,10,12,6
14,15,255,27,1,1,11,12,6
15,15,255,19,1,1,11,12,6
16,16,255,20,1,1,12,12,6
17,17,255,26,1,1,13,13,6
18,18,255,12,0,1,13,14,7
19,19,255,20,1,1,14,15,7
20,19,255,20,1,1,14,15,7
21,20,255,13,1,1,14,16,7
22,21,255,27,1,1,14,16,7
23,21,255,28,1,1,14,16,7
24,22,255,19,1,1,15,16,7
25,23,255,27,1,1,16,17,7
26,23,255,8,1,1,16,17,7
27,24,255,20,1,1,17,18,8
28,25,255,20,1,1,17,18,8
29,25,255,28,1,1,17,18,8
30,25,255,26,1,1,17,18,8
31,26,255,26,1,1,18,19,8
32,27,255,22,1,1,18,20,8
33,28,255,27,1,1,19,21,9
34,29,255,27,1,1,20,21,9
35,30,255,30,1,1,21,22,9
36,31,255,7,0,1,22,23,10
37,32,255,20,1,1,22,23,10
38,32,255,20,1,1,22,23,10
39,33,255,27,1,1,22,24,10
40,33,255,20,1,1,22,24,10
41,34,255,20,1,1,23,25,11
42,35,255,8,1,1,23,26,11
43,35,255,27,1,1,23,26,11
44,35,255,26,1,1,23,26,11
45,35,255,27,1,1,23,26,11
46,35,255,20,1,1,23,26,11
47,36,255,27,1,1,23,27,11
48,36,255,22,1,1,23,27,11
49,37,255,24,1,1,23,28,11
50,38,255,28,1,1,24,29,11
51,39,255,20,1,1,25,29,11
52,40,255,24,1,1,25,29,11
53,41,255,27,1,1,25,30,11
54,41,255,28,1,1,25,30,11
55,42,255,22,1,1,26,31,11
56,43,255,13,1,1,26,31,11
57,43,255,20,1,1,26,31,11
58,43,255,19,1,1,26,31,11
59,44,255,20,1,1,27,32,12
60,45,255,27,1,1,27,33,12
61,46,255,26,1,1,28,33,12
62,46,255,20,1,1,28,33,12
63,47,255,28,1,1,28,33,12
64,47,255,27,1,1,28,33,12
65,47,255,19,1,1,28,33,12
66,48,255,10,1,1,28,33,13
67,49,255,7,1,0,29,33,13
68,50,255,20,1,1,29,33,13
69,51,255,14,1,1,30,34,13
70,51,255,26,1,1,30,34,13
71,51,255,20,1,1,30,34,13
72,52,255,20,1,1,31,34,14
73,52,255,8,1,1,31,34,14
74,52,255,28,1,1,31,34,14
75,52,255,20,1,1,31,34,14
76,53,255,28,1,1,32,35,15
77,54,255,26,1,1,32,36,15
78,55,255,26,1,1,33,37,15
79,55,255,20,1,1,33,37,15
80,55,255,28,1,1,33,37,15
81,56,255,12,1,1,33,37,15
82,57,255,26,1,1,33,37,15
83,58,255,10,1,1,34,37,15
84,59,255,19,1,1,34,37,16
85,60,255,19,1,1,35,38,16
86,61,255,16,1,1,35,38,16
87,61,255,19,1,1,35,38,16
88,61,255,27,1,1,35,38,16
89,62,255,11,1,1,36,39,17
90,62,255,19,1,1,36,39,17
91,63,255,8,1,1,37,39,17
92,63,255,12,1,1,37,39,17
93,63,255,26,1,1,37,39,17
94,64,255,8,1,1,37,39,17
95,64,255,20,1,1,37,39,17
96,64,255,8,1,1,37,39,17
97,65,255,21,1,1,38,39,17
98,66,255,16,1,1,39,40,17
99,67,255,9,1,1,39,40,17
100,67,255,20,1,1,39,40,17
101,68,255,29,1,1,39,41,17
102,68,255,20,1,1,39,41,17
103,68,255,11,1,1,39,41,17
104,69,255,8,1,1,40,42,17
105,69,255,27,1,1,40,42,17
106,70,255,29,0,1,40,43,17
107,71,255,9,0,1,41,43,18
108,71,255,19,1,1,41,43,18
109,71,255,20,1,1,41,43,18
110,72,255,8,1,1,42,44,18
111,72,255,20,1,1,42,44,18
112,72,255,9,1,1,42,44,18
113,73,255,9,1,1,43,44,18
114,73,255,20,1,1,43,44,18
115,73,255,20,1,1,43,44,18
116,74,255,10,1,1,44,44,18
117,74,255,9,1,1,44,44,18
118,74,255,26,1,1,44,44,18
119,75,255,22,1,1,45,45,19
120,76,255,22,1,1,45,45,19
121,76,255,21,1,1,45,45,19
122,76,255,8,1,1,45,45,19
123,77,255,20,1,1,45,45,19
124,77,255,20,1,1,45,45,19
125,78,255,26,1,1,46,45,19
126,78,255,11,1,1,46,45,19
127,78,255,20,1,1,46,45,19
128,79,255,27,1,1,46,46,19
129,79,255,19,1,1,46,46,19
130,79,255,27,1,1,46,46,19
131,80,255,20,1,1,47,46,19
132,80,255,27,1,1,47,46,19
133,81,255,22,1,1,47,47,19
134,81,255,20,1,1,47,47,19
135,82,255,11,1,1,47,48,19
136,83,255,19,1,1,48,49,20
137,84,255,29,1,1,49,49,20
138,85,255,30,1,1,50,50,20
139,85,255,12,1,1,50,50,20
140,86,255,9,1,1,51,51,21
141,87,255,20,1,1,51,52,21
142,87,255,20,1,1,51,52,21
143,87,255,8,1,1,51,52,21
144,88,255,22,1,1,52,53,21
145,88,255,28,1,1,52,53,21
146,88,255,8,1,1,52,53,21
147,89,255,21,1,1,53,53,21
148,90,255,20,1,2,54,54,21
149,91,255,8,1,1,55,54,21
150,91,255,20,1,1,55,54,21
151,91,255,7,1,0,55,54,21
152,92,255,28,1,1,55,54,21
153,92,255,27,1,1,55,54,21
154,93,255,10,1,1,56,54,21
