x,y
0,1
1,2
2,2
3,3
4,4
5,5
6,5
7,6
8,7
9,7
10,8
11,9
12,10
13,11
14,12
15,12
16,13
17,13
18,14
19,15
20,16
21,16
22,17
23,17
24,17
25,18
26,18
27,19
28,19
29,19
30,20
31,21
32,22
33,23
34,23
35,23
36,24
37,24
38,25
39,26
40,27
41,27
42,27
43,28
44,29
45,29
46,30
47,30
48,30
49,30
50,31
51,32
52,32
53,32
54,33
55,34
56,34
57,35
58,35
59,36
60,37
61,38
62,38
63,38
64,38
65,38
66,39
67,40
68,41
69,42
70,42
71,42
72,42
73,43
74,44
75,44
76,45
77,46
78,47
79,47
80,47
81,48
82,48
83,48
84,49
85,50
86,51
87,52
88,53
89,54
90,55
91,55
92,55
93,55
94,56
95,56
96,57
97,57
98,57
99,57
100,58
101,58
102,59
103,60
104,60
105,61
106,61
107,62
108,63
109,63
110,63
111,64
112,65
113,66
114,67
115,67
116,67
117,67
118,67
119,67
120,67
121,67
122,67
123,67
124,68
125,69
126,70
127,70
128,71
129,71
130,71
131,72
132,72
133,72
134,73
135,73
136,74
137,75
138,75
139,76
140,77
141,78
142,79
143,80
144,81
145,81
146,82
147,82
148,82
149,82
150,83
151,84
152,84
153,84
154,84
155,85
156,86
157,86
158,87
159,87
160,88
161,89
162,90
163,91
164,92
165,92
166,93
167,93
168,94
169,94
170,95
171,95
172,95
173,96
174,96
175,97
176,97
177,97
178,97
179,98
180,98
181,98
182,99
183,99
184,100
185,100
186,100
187,101
188,102
189,103
190,104
191,104
192,105
193,106
194,107
195,107
196,107
197,107
198,107
199,107
200,107
201,108
202,109
203,109
204,109
205,109
206,110
207,110
208,110
209,110
210,110
211,110
212,110
213,110
214,111
215,111
216,111
217,111
218,112
219,112
220,112
221,113
222,113
223,114
224,114
225,114
226,114
227,115
228,115
229,116
230,116
231,117
232,117
233,118
234,118
235,118
236,119
237,119
238,120
239,121
240,121
241,121
242,122
243,122
244,122
245,122
246,122
247,122
248,123
249,123
250,123
251,123
252,123
253,123
254,124
255,124
256,124
257,125
258,125
259,125
260,125
261,125
262,125
263,125
264,125
265,126
266,126
267,126
268,126
269,126
270,126
271,126
272,126
273,127
274,127
275,127
276,128
277,128
278,128
279,128
280,129
281,129
282,129
283,129
284,129
285,129
286,129
287,130
288,131
289,131
290,132
291,133
292,133
293,133
294,134
295,134
296,134
297,134
298,134
299,134
300,134
301,135
302,135
303,136
304,136
305,136
306,136
307,136
308,136
309,136
310,136
311,136
312,136
313,136
314,136
315,136
316,136
317,136
318,136
319,136
320,136
321,136
322,137
323,137
324,137
325,137
326,137
327,137
328,137
329,137
330,137
331,137
332,137
333,138
334,139
335,139
336,140
337,141
338,141
339,141
340,141
341,141
342,142
343,142
344,142
345,142
346,142
347,143
348,143
349,143
350,144
351,144
352,145
353,145
354,146
355,146
356,147
357,147
358,147
359,147
360,147
361,147
362,148
363,148
364,148
365,149
366,149
367,149
368,150
369,150
370,151
371,151
372,152
373,152
374,153
375,154
376,154
377,155
378,155
379,155
380,155
381,156
382,156
383,156
384,157
385,157
386,158
387,158
388,158
389,158
390,158
391,158
392,159
393,159
394,160
395,160
396,160
397,160
398,161
399,161
400,161
401,161
402,161
403,161
404,161
405,161
406,162
407,162
408,162
409,162
410,162
411,162
412,162
413,162
414,162
415,162
416,162
417,162
418,162
419,163
420,164
421,165
422,165
423,165
424,165
425,166
426,166
427,166
428,166
429,166
430,167
431,167
432,167
433,168
434,168
435,169
436,169
437,170
438,170
439,171
440,171
441,171
442,171
443,171
444,171
445,171
446,171
447,171
448,171
449,171
450,171
451,171
452,171
453,171
454,171
455,171
456,171
457,171
458,171
459,171
460,171
461,171
462,171
463,171
464,172
465,173
466,174
467,174
468,174
469,174
470,174
471,174
472,174
473,175
474,176
475,176
476,176
477,176
478,176
479,177
480,177
481,178
482,178
483,179
484,179
485,180
486,180
487,181
488,182
489,182
490,182
491,183
492,184
493,185
494,185
495,185
496,186
497,186
498,187
499,188
500,188
501,188
502,189
503,189
504,189
505,189
506,189
507,190
508,191
509,191
510,191
511,191
512,191
513,191
514,191
515,192
516,192
517,192
518,192
519,192
520,193
521,193
522,193
523,193
524,193
525,193
526,193
527,193
528,193
529,193
530,193
531,193
532,193
533,193
534,193
535,193
536,193
537,193
538,193
539,194
540,194
541,194
542,194
543,195
544,196
545,196
546,196
547,197
548,197
549,197
550,197
551,198
552,199
553,199
554,199
555,200
556,200
557,200
558,201
559,201
560,201
561,201
562,201
563,202
564,202
565,202
566,202
567,203
568,203
569,203
570,203
571,203
572,203
573,203
574,203
575,203
576,203
577,203
578,204
579,204
580,204
581,204
582,205
583,206
584,206
585,206
586,206
587,207
588,207
589,208
590,208
591,208
592,208
593,209
594,209
595,210
596,211
597,211
598,211
599,211
600,212
601,212
602,212
603,212
604,212
605,212
606,212
607,212
608,213
609,213
610,213
611,213
612,213
613,213
614,213
615,213
616,214
617,214
618,214
619,214
620,215
621,216
622,216
623,216
624,216
625,217
626,217
627,217
628,217
629,217
630,217
631,217
632,218
633,219
634,219
635,219
636,220
637,220
638,221
639,221
640,221
641,221
642,221
643,221
644,221
645,221
646,221
647,221
648,221
649,222
650,222
651,222
652,222
653,222
654,222
655,222
656,223
657,223
658,223
659,223
660,223
661,223
662,223
663,224
664,224
665,224
666,225
667,226
668,226
669,226
670,226
671,226
672,226
673,226
674,226
675,227
676,227
677,227
678,227
679,227
680,227
681,228
682,228
683,228
684,229
685,229
686,230
687,230
688,230
689,231
690,231
691,231
692,231
693,231
694,232
695,232
696,232
697,233
698,233
699,234
700,235
701,235
702,235
703,235
704,235
705,235
706,235
707,235
708,235
709,235
710,235
711,235
712,235
713,235
714,235
715,235
716,236
717,236
718,237
719,237
720,237
721,237
722,237
723,237
724,237
725,237
726,237
727,237
728,237
729,237
730,237
731,238
732,238
733,238
734,238
735,238
736,238
737,238
738,238
739,238
740,238
741,238
742,239
743,239
744,239
745,239
746,239
747,239
748,239
749,239
750,239
751,239
752,239
753,240
754,240
755,240
756,240
757,240
758,241
759,241
760,242
761,242
762,242
763,242
764,243
765,243
766,243
767,243
768,243
769,244
770,244
771,245
772,245
773,245
774,246
775,246
776,246
777,246
778,246
779,246
780,247
781,247
782,247
783,247
784,247
785,247
786,247
787,247
788,247
789,247
790,248
791,248
792,248
793,249
794,250
795,251
796,251
797,252
798,252
799,252
800,252
801,252
802,253
803,253
804,253
805,254
806,255
807,255
808,255
809,255
810,255
811,255
812,255
813,255
814,256
815,256
816,257
817,257
818,257
819,257
820,257
821,258
822,258
823,258
824,258
825,258
826,258
827,258
828,258
829,258
830,258
831,259
832,259
833,259
834,260
835,260
836,261
837,261
838,261
839,261
840,262
841,263
842,263
843,263
844,263
845,263
846,263
847,263
848,263
849,263
850,264
851,264
852,264
853,264
854,265
855,266
856,266
857,266
858,266
859,267
860,267
861,267
862,267
863,267
864,267
865,268
866,268
867,268
868,269
869,269
870,270
871,270
872,271
873,271
874,272
875,272
876,273
877,273
878,273
879,273
880,273
881,273
882,273
883,273
884,273
885,273
886,274
887,274
888,274
889,274
890,274
891,274
892,274
893,275
894,276
895,276
896,276
897,276
898,277
899,277
900,277
901,277
902,277
903,277
904,278
905,278
906,279
907,279
908,279
909,279
910,280
911,280
912,280
913,281
914,281
915,281
916,281
917,281
918,281
919,281
920,282
921,282
922,282
923,282
924,282
925,282
926,282
927,282
928,283
929,283
930,283
931,283
932,283
933,283
934,284
935,284
936,285
937,285
938,286
939,286
940,287
941,288
942,289
943,289
944,289
945,289
946,289
947,290
948,290
949,290
950,290
951,290
952,290
953,290
954,290
955,290
956,291
957,291
958,292
959,292
960,292
961,292
962,292
963,292
