x,y
468,-1452211408
469,-1452211408
470,-1452211408
471,-1452211408
472,-1452211408
473,-1452211408
474,-1452211408
475,-1452211408
476,-1452211408
477,-1452211408
478,0
479,-1452211152
480,-1452211408
481,-1452211408
482,-167718048
483,-1452211408
484,0
485,-1452211280
486,0
487,-1452211408
488,0
489,-1452211408
490,0
491,-1452211152
492,0
493,-1452211408
494,0
495,-1452211408
496,0
497,-1452211408
498,0
499,-1452211408
500,250655360
501,-1452211408
502,0
503,-1452211408
504,0
505,-1452211152
506,0
507,-1452211408
508,-463458096
509,-1452211280
510,-1452211408
511,0
512,-1452211408
513,1735455872
514,-1452211408
515,0
516,-1452211408
517,0
518,-1452211408
519,0
520,-1452211408
521,-1452211280
522,-1452211408
523,-1452211408
524,-1452211408
525,-1452211408
526,0
527,-1452211408
528,0
529,-1452211408
530,0
531,-1452211408
532,0
533,-1452211408
534,0
535,-1452211408
536,-1452211408
537,0
538,-1452211408
539,0
540,-1452211408
541,0
542,-1452211408
543,0
544,-1452211408
545,-895455664
546,-1452211408
547,9485952
548,-1452211408
549,0
550,-1452211408
551,-1452211408
552,-1452211408
553,-1452211408
554,-1452211408
555,-1452211408
556,0
557,-1452211408
558,0
559,-1452211408
560,-1452211408
561,-1452211408
562,0
563,-1452211408
564,0
565,-1452211408
566,0
567,-1452211408
568,0
569,-1452211408
570,0
571,-1452211408
572,0
573,-1452211408
574,628158432
575,-1452211408
576,0
577,-1452211408
578,-1452211408
579,-1452211408
580,-1452211408
581,-1452211408
582,-1452211408
583,0
584,-1452211408
585,0
586,-1452211408
587,0
588,-1452211408
589,0
590,-1452211408
591,0
592,-1452211408
593,0
594,-1452211408
595,-99582704
596,-1452211408
597,-1452211408
598,0
599,-1452211408
600,0
601,-1452211408
602,1223722272
603,-1452211408
604,0
605,-1452211408
606,0
607,-1452211408
608,0
609,-1452211408
610,0
611,-1452211408
612,0
613,-1452211408
614,-1452211408
615,-1452211408
616,-1452211152
617,0
618,-1452211408
619,0
620,-1452211408
621,0
622,-1452211408
623,-1452211408
624,0
625,-1452211408
626,0
627,-1452211408
628,0
629,-1452211408
630,0
631,-1452211408
632,-1452211408
633,-1452211408
634,-1452211408
635,-1452211408
636,-1452211408
637,0
638,-1452211408
639,0
640,-1452211408
641,0
642,-1452211152
643,0
644,-1452211408
645,0
646,-1452211408
647,0
648,-1452211408
649,0
650,-1452211408
651,0
652,-1452211408
653,-1452211408
654,-1452211408
655,-1452211408
656,-1452211408
657,-1452211408
658,0
659,-1452211408
660,0
661,-1452211408
662,-1452211408
663,-1452211408
664,264289920
665,-1452211408
666,-1452211408
667,0
668,-1452211408
669,0
670,-1452211408
671,0
672,-1452211408
673,0
674,-1452211408
675,0
676,-1452211408
677,-1452211408
678,-1452211408
679,-1452211408
680,0
681,-1452211408
682,0
683,-1452211408
684,0
685,-1452211408
686,-1452211408
687,-1452211408
688,-531581648
689,-1452211408
690,-895455664
691,0
692,-1452211152
693,0
694,-1452211408
695,-1452211152
696,-1452211408
697,-1452211408
698,-1452211408
699,-1452211408
700,0
701,-1452211408
702,0
703,-1452211408
704,-1452211408
705,-1452211408
706,-1452211408
707,-1452211408
708,-1452211408
709,0
710,-1452211408
711,0
712,-1452211408
713,-1452211408
714,-1452211408
715,0
716,-1452211408
717,0
718,-1452211408
719,0
720,-1452211408
721,-1452211408
722,-1452211152
723,-1452211408
724,0
725,-1452211408
726,0
727,-1452211408
728,-1452211408
729,-1452211408
730,-1452211408
731,0
732,-1452211408
733,0
734,-1452211408
735,0
736,-1452211408
737,-1452211408
738,-1452211408
739,-1452211408
740,1605396160
741,-1452211408
742,0
743,-1452211408
744,0
745,-1452211408
746,-1452211408
747,-1452211408
748,-1452211408
749,0
750,-1452211408
751,0
752,-1452211408
753,-1452211408
754,0
755,-1452211408
756,0
757,-1452211408
758,-1768939408
759,-1452211408
760,-1452211408
761,0
762,-1452211408
763,0
764,-1452211408
765,0
766,0
767,-1452211408
768,0
769,-1452211408
770,0
771,-1452211408
772,0
773,-1452211408
774,-1452211408
775,0
776,-1452211408
777,0
778,-1452211408
779,-1452211408
780,0
781,-1452211408
782,0
783,-1452211408
784,-1452211408
785,-1452211280
786,-1452211408
787,0
788,-1452211408
789,0
790,-1452211408
791,0
792,-1452211408
793,-1452211408
794,-1452211408
795,-1452211408
796,0
797,-1452211408
798,0
799,-1452211408
800,0
801,-1452211408
802,0
803,-1452211408
804,-1452211408
805,0
806,-1452211408
807,0
808,-1452211408
809,-609190640
810,-1452211408
811,-1452211408
812,-1452211152
813,-1452211408
814,0
815,-1452211408
816,0
817,-1452211408
818,-1452211152
819,0
820,-1452211408
821,0
822,-1452211408
823,0
824,-1452211152
825,-1452211408
826,0
827,-1452211408
828,0
829,-1452211408
830,-1452211408
831,-1275018656
832,-1452211408
833,0
834,-1452211408
835,0
836,-1452211408
837,0
838,-1893698112
839,-1452211408
840,0
841,-1452211408
842,0
843,-1452211408
844,-1452211408
845,0
846,-1452211408
847,0
848,-1452211152
849,0
850,675295040
851,-1452211408
852,0
853,-1452211408
854,-1452211152
855,-1452211408
856,-1452211408
857,1116775168
858,-1452211408
859,0
860,-1452211408
861,-1452211408
862,0
863,-1452211152
864,0
865,-1452211408
866,-1452211408
867,-1452211408
868,-1452211408
869,-1452211408
870,-1452211408
871,0
872,-1452211408
873,0
874,-1452211408
875,-1452211408
876,498096160
877,-1452211408
878,0
879,-1452211408
880,0
881,-1452211408
882,-1452211408
883,0
884,-1452211408
885,0
886,-1452211408
887,0
888,-1452211408
889,-1452211408
890,-1452211280
891,-1452211408
892,0
893,-1452211152
894,0
895,-1452211408
896,-1452211408
897,0
898,-1452211408
899,0
900,-1452211408
901,-1452211408
902,-1452211408
903,-1452211408
904,0
905,-1452211408
906,1735457168
907,0
908,-1452211408
909,0
910,-1452211408
911,-1452211152
912,-1227875248
913,-1452211408
914,0
915,-1452211408
916,-1452211408
917,0
918,-1452211408
919,-1452211408
920,-1452211408
921,-1452211408
922,0
923,-1452211152
924,0
925,-609202816
926,-1452211408
927,0
928,-1452211408
929,-1452211408
930,-1452211408
931,-1452211408
932,-1452211408
933,-1452211408
934,0
935,-1452211408
936,-1452211408
937,0
938,-1452211408
939,0
940,-1452211408
941,-1452211408
942,-1452211408
943,-1452211408
944,0
945,-1452211408
946,1184911344
947,-1452211408
948,-1452211408
949,0
950,-1452211152
951,0
952,-1452211408
953,-1452211408
954,0
955,-1452211408
956,0
957,-1452211408
958,-1150259632
959,-1452211152
960,-1452211408
961,0
962,-1452211408
963,0
964,-1452211408
965,-1452211408
966,0
967,-1452211408
968,0
969,-1452211408
970,-1452211408
971,-1452211408
972,-1452211408
973,0
974,-1452211408
975,0
976,675295040
977,-1452211408
978,0
979,-1452211408
980,0
981,-1452211408
982,0
